127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-15 20:14:16, GET, /, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-15 20:14:16, GET, /GeoInput/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
